videoId,channelId,channelTitle,publishTime,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,liveBroadcastContent
VwfF5FsnKgw,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-26T16:47:15Z,Manifest กับ กฏแรงดึงดูด,เชื่ออะไร ก็ได้แบบนั้น” เป็นประโยคที่บางคนใช้อธิบายคำว่า “Manifest” จริง ๆ แล้ว Manifest คืออะไร เกี่ยวข้องกับกฏแรงดึงดูดหรือไม่ จะเริ่ม ...,https://i.ytimg.com/vi/VwfF5FsnKgw/default.jpg,https://i.ytimg.com/vi/VwfF5FsnKgw/mqdefault.jpg,https://i.ytimg.com/vi/VwfF5FsnKgw/hqdefault.jpg,none
NK_8pAyn4uk,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-22T16:40:34Z,คน Toxic เป็นแบบไหนบ้าง? หรือเป็นเราที่ Toxic,Toxic” มีหลายรูปแบบ ไม่ว่าจะในรูปแบบครอบครัว คนรัก เพื่อน เมื่อจำเป็นต้องอยู่ใกล้คน Toxic หรือในวันที่เรา Toxic เสียเอง ...,https://i.ytimg.com/vi/NK_8pAyn4uk/default.jpg,https://i.ytimg.com/vi/NK_8pAyn4uk/mqdefault.jpg,https://i.ytimg.com/vi/NK_8pAyn4uk/hqdefault.jpg,none
2kz6Q-yhoQY,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-16T13:18:55Z,ชีวิตเราไม่ได้ยืนยาว &quot;พอที่จะอยู่อย่างอดทน&quot;,Alljit Podcast วันนี้มากับ หนังสือรวม 28 วิธีคิดเพื่อชีวิตปลอดโปร่งสบายใจ เพื่อให้ทุกคนเลิกฝืน เลิกเดินตามความคาดหวังของคนอื่น ...,https://i.ytimg.com/vi/2kz6Q-yhoQY/default.jpg,https://i.ytimg.com/vi/2kz6Q-yhoQY/mqdefault.jpg,https://i.ytimg.com/vi/2kz6Q-yhoQY/hqdefault.jpg,none
tEyeSgsZmNo,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-15T15:53:18Z,การแสดงออก ความเป็นตัวเอง self Expression,เคยไหม… ที่ต้องซ่อนความเป็นตัวเองไว้เพราะกลัวว่าคนอื่นจะไม่ชอบ การทำเช่นนั้นส่งผลต่อสุขภาพจิตของเราอย่างไร ...,https://i.ytimg.com/vi/tEyeSgsZmNo/default.jpg,https://i.ytimg.com/vi/tEyeSgsZmNo/mqdefault.jpg,https://i.ytimg.com/vi/tEyeSgsZmNo/hqdefault.jpg,none
_3IHrM1bU7E,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-10T15:28:39Z,Deep Talk คุยอย่างเปิดใจ &quot;ยิ่งคุย ยิ่งรู้จัก&quot;,ยิ่งคุย ยิ่งรู้จัก เพราะการที่คนสองคนจะเข้าใจกันได้บางครั้งต้องอาศัยการเปิดใจ Deep Talk คืออะไร มีประโยชน์อะไรบ้าง ...,https://i.ytimg.com/vi/_3IHrM1bU7E/default.jpg,https://i.ytimg.com/vi/_3IHrM1bU7E/mqdefault.jpg,https://i.ytimg.com/vi/_3IHrM1bU7E/hqdefault.jpg,none
kkmZxA0rBQY,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-09T15:51:29Z,&quot;การนอน&quot; พฤติกรรมการนอนของเด็กแต่ละช่วงวัย,"""การนอน"" นอกจากจะสำคัญสำหรับผู้ใหญ่แล้ว ก็สำคัญกับเด็กไม่แพ้กัน จะสร้างนิสัยการนอนให้เด็กอย่างไร ...",https://i.ytimg.com/vi/kkmZxA0rBQY/default.jpg,https://i.ytimg.com/vi/kkmZxA0rBQY/mqdefault.jpg,https://i.ytimg.com/vi/kkmZxA0rBQY/hqdefault.jpg,none
DS1o2ACR9II,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-07T13:41:12Z,ปฏิเสธคนไม่เป็น ยิ่งต้องฟัง!!,เคยไหมที่รู้สึกว่า “ไม่กล้าปฏิเสธ” ทั้งที่เรารู้ว่าเราไม่ได้อยากไปหรืออยากทำสิ่งต่าง ๆ การปฏิเสธคนไม่เป็นก็ทำให้หลายครั้งเราต้องหนักใจ ต้องฝืน ...,https://i.ytimg.com/vi/DS1o2ACR9II/default.jpg,https://i.ytimg.com/vi/DS1o2ACR9II/mqdefault.jpg,https://i.ytimg.com/vi/DS1o2ACR9II/hqdefault.jpg,none
8DgBdRW_BLA,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-25T15:29:28Z,การก้าวผ่านโรคซึมเศร้า กับ คุณแป้ง แม้จะเจ็บปวดแต่คุณก็งดงาม,หนังสือ การเขียน และการก้าวผ่านโรคซึมเศร้าที่ไม่ง่าย ในมุมมอง “คุณแป้ง” เจ้าของนิทรรศการ “Turn Yours Scars into Stars ...,https://i.ytimg.com/vi/8DgBdRW_BLA/default.jpg,https://i.ytimg.com/vi/8DgBdRW_BLA/mqdefault.jpg,https://i.ytimg.com/vi/8DgBdRW_BLA/hqdefault.jpg,none
mZsRwygl65Q,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-12T15:55:04Z,คิดมาก นอยด์ง่าย กับ Paranoid Personality Disorder,นอยด์ เวลาเราอารมณ์ไม่ดี มีเรื่องอะไรที่ทำให้หมดแรง เศร้า บางครั้งเราก็จะพูดคำนี้ แต่จริง ๆ แล้วในทางจิตวิทยามีคำว่า พารานอยด์ ด้วย ...,https://i.ytimg.com/vi/mZsRwygl65Q/default.jpg,https://i.ytimg.com/vi/mZsRwygl65Q/mqdefault.jpg,https://i.ytimg.com/vi/mZsRwygl65Q/hqdefault.jpg,none
TjBlb0F9eT4,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-10T16:31:33Z,กินเพราะเครียด !? Emotional Eating,เครียดก็กิน เศร้าก็กิน กินตามอารมณ์ของตัวเอง ในทางจิตวิทยามีการอธิบายพฤติกรรมนี้ไว้อย่างไร ความหิวและอารมณ์ของเราเกี่ยวข้องกันอย่างไร ...,https://i.ytimg.com/vi/TjBlb0F9eT4/default.jpg,https://i.ytimg.com/vi/TjBlb0F9eT4/mqdefault.jpg,https://i.ytimg.com/vi/TjBlb0F9eT4/hqdefault.jpg,none
Bx1KZcKYP7k,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-05T15:45:18Z,นอนไม่หลับ ปัญหาการนอน พูดคุยกับจิตแพทย์,นอนไม่ยาก นอนไม่หลับ ปัญหาที่ใคร ๆ ก็เจอ ปัญหาการนอนมีสาเหตุมาจากอะไร ส่งผลต่อสุขภาพกายและสุขภาพจิตมากแค่ไหน ...,https://i.ytimg.com/vi/Bx1KZcKYP7k/default.jpg,https://i.ytimg.com/vi/Bx1KZcKYP7k/mqdefault.jpg,https://i.ytimg.com/vi/Bx1KZcKYP7k/hqdefault.jpg,none
eb6JR6vegVo,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-02T15:53:41Z,คำว่า “ชีวิต” คุณให้ความหมายว่าอย่างไร,คำว่า “ชีวิต” สำหรับบางคนก็มีความหมายมาก สำหรับบางคนก็ไม่ใช่แบบนั้น เพราะในช่วงเวลาที่ค่อย ๆ เติบโตไปทีละวัน ...,https://i.ytimg.com/vi/eb6JR6vegVo/default.jpg,https://i.ytimg.com/vi/eb6JR6vegVo/mqdefault.jpg,https://i.ytimg.com/vi/eb6JR6vegVo/hqdefault.jpg,none
L2O9CrcKvIg,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-07-01T14:38:11Z,จิตวิทยาฝันร้าย คืนนี้ไม่อยากเข้านอนเลย…,คืนนี้ไม่อยากเข้านอนเลย… เพราะไม่อยากฝันร้าย จริง ๆ แล้วฝันร้ายถือเป็นโรคหรือไม่ เกิดจากอะไร ...,https://i.ytimg.com/vi/L2O9CrcKvIg/default.jpg,https://i.ytimg.com/vi/L2O9CrcKvIg/mqdefault.jpg,https://i.ytimg.com/vi/L2O9CrcKvIg/hqdefault.jpg,none
ZZgkX4ebwzc,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-28T15:51:39Z,ทำความรู้จักกับ &quot;โรคซึมเศร้า&quot; โดยจิตแพทย์,ในยุคนี้… “โรคซึมเศร้า” ใคร ๆ ก็รู้จัก จริงไหม? สิ่งที่เรารู้มาถูกต้องจริง ๆ หรือเปล่า? จึงรวมทุกเรื่องเกี่ยวกับโรคซึมเศร้าไม่ว่าจะเป็น สาเหตุ การรักษา ...,https://i.ytimg.com/vi/ZZgkX4ebwzc/default.jpg,https://i.ytimg.com/vi/ZZgkX4ebwzc/mqdefault.jpg,https://i.ytimg.com/vi/ZZgkX4ebwzc/hqdefault.jpg,none
DnNkfvO9q0I,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-25T15:54:10Z,คิดมาก หยุดคิดไม่ได้ แบบไหนปกติ แบบไหนควรพบจิตแพทย์?,"อาการคิดมาก หยุดคิดไม่ได้ เป็นเรื่องปกติไหม? ทำอย่างไรดีเมื่อคิดมาก? ""อย่าคิดมาก"" คำที่ได้ยินกันบ่อย ๆ พูดได้ไหมเมื่อมีใครมาปรึกษา ...",https://i.ytimg.com/vi/DnNkfvO9q0I/default.jpg,https://i.ytimg.com/vi/DnNkfvO9q0I/mqdefault.jpg,https://i.ytimg.com/vi/DnNkfvO9q0I/hqdefault.jpg,none
FiImo5zzG1E,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-21T17:01:25Z,คินสึงิ แม้ไม่สมบูรณ์ ชีวิตยังคงสวยงาม,เราสามารถทำให้ชีวิตสมบูรณ์แบบได้จริงไหม หรือ… เราทำได้เพียงอยู่กับความไม่สมบูรณ์แบบอย่างที่เป็น แนวคิดจากญี่ปุ่นที่น่าสนใจ 'คินสึงิ' ...,https://i.ytimg.com/vi/FiImo5zzG1E/default.jpg,https://i.ytimg.com/vi/FiImo5zzG1E/mqdefault.jpg,https://i.ytimg.com/vi/FiImo5zzG1E/hqdefault.jpg,none
4LhB83XlRtQ,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-19T15:54:26Z,ค้นหานิสัยที่ไม่ดีของตัวเอง โดยนักจิตวิทยา,นิสัยแย่ ๆ ใคร ๆ ก็มี จริงไหม หลาย ๆ ครั้งที่เรามองเห็นนิสัยแย่ของคนอื่น โดยลืมหันกลับมามองตัวเอง จนเผลอนำนิสัยนั้นออกมาทำร้ายความสัมพันธ์ ...,https://i.ytimg.com/vi/4LhB83XlRtQ/default.jpg,https://i.ytimg.com/vi/4LhB83XlRtQ/mqdefault.jpg,https://i.ytimg.com/vi/4LhB83XlRtQ/hqdefault.jpg,none
L8ezDrv2pVE,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-15T17:01:35Z,Romanticize ความโรแมนติก ที่ไม่โรแมนติก,ความสวยงาม ความชวนฝัน จริง ๆ แล้วเป็นแบบนั้นจริงหรือเปล่า… สิ่งที่เราคิดว่าดี สุดท้ายแล้วดีจริง ๆ หรือเปล่า รู้จักกับคำว่า Romanticize ...,https://i.ytimg.com/vi/L8ezDrv2pVE/default.jpg,https://i.ytimg.com/vi/L8ezDrv2pVE/mqdefault.jpg,https://i.ytimg.com/vi/L8ezDrv2pVE/hqdefault.jpg,none
coScgWnsS7E,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-13T16:44:13Z,เมื่อฉันเป็นผู้ใหญ่ และฉันโดดเดี่ยว,ความโดดเดี่ยวและความเหงาที่เราต้องเจอ คืออะไร แตกต่างกันไหม และวันหนึ่งเมื่อความรู้สึกแบบนี้มากขึ้นจนทำร้ายเรา เราจะหาทางรับมืออย่างไรดี ...,https://i.ytimg.com/vi/coScgWnsS7E/default.jpg,https://i.ytimg.com/vi/coScgWnsS7E/mqdefault.jpg,https://i.ytimg.com/vi/coScgWnsS7E/hqdefault.jpg,none
zUUW0lBI40w,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-11T15:56:07Z,พรุ่งนี้วันจันทร์! Blue Monday กับความรู้สึกเหนื่อยเมื่อถึงวันจันทร์,วันจันทร์ทีไร ไม่สบายใจทุกที... ไม่ว่าจะวัยเรียน วัยทำงาน ต่างก็พูดเป็นเสียงเดียวกันว่าไม่ชอบวันจันทร์ เป็นปกติไหมที่เราจะรู้สึกแบบนี้?,https://i.ytimg.com/vi/zUUW0lBI40w/default.jpg,https://i.ytimg.com/vi/zUUW0lBI40w/mqdefault.jpg,https://i.ytimg.com/vi/zUUW0lBI40w/hqdefault.jpg,none
I4pMw37Uex4,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-06-06T15:03:18Z,จะเพศไหนก็ไม่ผิด กับ Heartstopper เธอทำให้ใจฉันหยุดเต้น,ไม่มีอะไรที่ต้องขอโทษ เพราะการเป็นเพศทางเลือกไม่ใช่เรื่องผิด” ใช้ใจดูใน Episode นี้ จะชวนทุกคนมาใช้ใจดูซีรีส์เรื่อง “Heartstopper ...,https://i.ytimg.com/vi/I4pMw37Uex4/default.jpg,https://i.ytimg.com/vi/I4pMw37Uex4/mqdefault.jpg,https://i.ytimg.com/vi/I4pMw37Uex4/hqdefault.jpg,none
QZRIKpBkflo,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-30T15:03:41Z,กลัวการเริ่มต้นใหม่ ความเปลี่ยนแปลงที่หลีกเลี่ยงไม่ได้,ใคร ๆ ก็ต้องเคยเริ่มต้นใหม่ ไม่ว่าจะเริ่มต้นใหม่กับเรื่องใหม่ ๆ หรือกับเรื่องเดิม ๆ อะไรคือจุดที่ยากที่สุดของการเริ่มต้นใหม่?,https://i.ytimg.com/vi/QZRIKpBkflo/default.jpg,https://i.ytimg.com/vi/QZRIKpBkflo/mqdefault.jpg,https://i.ytimg.com/vi/QZRIKpBkflo/hqdefault.jpg,none
au36UGGnvJg,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-29T12:56:34Z,ไบโพลาร์ (Bipolar Disorder) อารมณ์ 2 ขั้ว ที่ไม่ใช่เดี๋ยวดี เดี๋ยวร้าย โดยจิตแพทย์,คำที่ได้ยินกันบ่อย ๆ “เดี๋ยวดีเดี๋ยวร้าย” … จริง ๆ แล้ว เรียกว่าเป็นไบโพลาร์หรือเปล่า? ไบโพลาร์ มีลักษณะอาการอย่างไร มีสาเหตุมาจากไหน ...,https://i.ytimg.com/vi/au36UGGnvJg/default.jpg,https://i.ytimg.com/vi/au36UGGnvJg/mqdefault.jpg,https://i.ytimg.com/vi/au36UGGnvJg/hqdefault.jpg,none
Eq4U_1ddeN4,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-27T14:16:44Z,คู่ชีวิต Toxic ความสัมพันธ์ที่บั่นทอนจิตใจ,Toxic relationship คู่ชีวิต Toxic เป็นอย่างไร? หลาย ๆ คนยอมอดทนอยู่ทั้งที่รู้ว่าความสัมพันธ์ทำร้ายตัวเองเพราะอะไร? และในเมื่อรักกัน ...,https://i.ytimg.com/vi/Eq4U_1ddeN4/default.jpg,https://i.ytimg.com/vi/Eq4U_1ddeN4/mqdefault.jpg,https://i.ytimg.com/vi/Eq4U_1ddeN4/hqdefault.jpg,none
aZ81idSBfJk,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-22T13:26:59Z,ฟังก่อนนอน คนพลังงานน้อย หมดพลังใจง่าย 3 ชั่วโมง - Long Play,ฟังก่อนนอน คนพลังงานน้อย หมดพลังใจง่าย 3 ชั่วโมง - Long Play 00:00 นาที l เริ่ม 00:10 นาที l ติดหนี้การนอน นอนเท่าไหร่ก็ไม่พอ ...,https://i.ytimg.com/vi/aZ81idSBfJk/default.jpg,https://i.ytimg.com/vi/aZ81idSBfJk/mqdefault.jpg,https://i.ytimg.com/vi/aZ81idSBfJk/hqdefault.jpg,none
MtJvDWibs9s,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-04T16:02:51Z,การเปลี่ยนผ่านของช่วงวัย Coming of Age,เคยรู้สึกไหมว่าบางเวลาเราก็รู้สึกว่าเราโตเป็นผู้ใหญ่แล้ว ต้องทำงาน ต้องมีความรับผิดชอบ แต่ในบางครั้งเราก็รู้สึกว่า เราพึ่งจะอายุเท่านี้เอง ...,https://i.ytimg.com/vi/MtJvDWibs9s/default.jpg,https://i.ytimg.com/vi/MtJvDWibs9s/mqdefault.jpg,https://i.ytimg.com/vi/MtJvDWibs9s/hqdefault.jpg,none
TkBvMMdJdMQ,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-05-01T15:50:45Z,กาลครั้งหนึ่งเมื่อฉันเป็นโรคซึมเศร้า พร้อมมุมมองต่างๆ ของผู้ป่วย- Long Play,กาลครั้งหนึ่งเมื่อฉันเป็นโรคซึมเศร้า พร้อมมุมมองต่างๆ ของผู้ป่วย- Long Play 00:05 นาที l ยินดีต้อนรับทุกคนเข้าสู่ “โลกซึมเศร้า” ...,https://i.ytimg.com/vi/TkBvMMdJdMQ/default.jpg,https://i.ytimg.com/vi/TkBvMMdJdMQ/mqdefault.jpg,https://i.ytimg.com/vi/TkBvMMdJdMQ/hqdefault.jpg,none
qMs3RSAYO4Y,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-04-29T16:58:14Z,เคยไหมที่รู้สึก หึง หวง น้อยใจ,เคยไหม ? รู้สึกหึง หวง และน้อยใจ ผู้คน สัตว์หรือแม้กระทั้งของใช้.. เพราะอะไรเราถึงรู้สึกหึง หวง และน้อยใจ ? หึง หวง ...,https://i.ytimg.com/vi/qMs3RSAYO4Y/default.jpg,https://i.ytimg.com/vi/qMs3RSAYO4Y/mqdefault.jpg,https://i.ytimg.com/vi/qMs3RSAYO4Y/hqdefault.jpg,none
cJqsT_Jyj88,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-04-14T16:02:01Z,ธรรมชาติฮีลใจ บำบัดจิตใจด้วยธรรมชาติ,เคยไหม ? รู้สึกไม่สบายใจ พาตัวเองไปทะเลอยู่กับธรรมชาติ แล้วรู้สึกดีขึ้น การได้ฟังเสียงธรรมชาติ ได้สูดกลิ่นป่า หายใจเอาอุ่นไอต้นไม้ที่ล้อมรอบ ...,https://i.ytimg.com/vi/cJqsT_Jyj88/default.jpg,https://i.ytimg.com/vi/cJqsT_Jyj88/mqdefault.jpg,https://i.ytimg.com/vi/cJqsT_Jyj88/hqdefault.jpg,none
KWdFCYH62ts,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-04-11T14:23:41Z,โรคซึมเศร้าหายขาดไหม,ยินดีต้อนรับทุกคนเข้าสู่ “โลกซึมเศร้า” สำหรับทุกคนที่ร่วมเดินทางกันมาถึงตอนสุดท้ายนี้ คำถามยอดฮิตเลยก็คือ เป็นซึมเศร้าหายได้หรือไม่ ?,https://i.ytimg.com/vi/KWdFCYH62ts/default.jpg,https://i.ytimg.com/vi/KWdFCYH62ts/mqdefault.jpg,https://i.ytimg.com/vi/KWdFCYH62ts/hqdefault.jpg,none
EaUsNqABANg,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-04-06T16:14:15Z,สุขภาพจิตที่ดี ไม่หลอกตัวเอง แม้มองไม่เห็น แต่จำเป็นมาก,ยุคนี้ที่สังคมให้ความสำคัญกับการรักษาสุขภาพจิต จริง ๆ แล้วสุขภาพจิตคืออะไร? สุขภาพจิตที่ดีเป็นอย่างไร?,https://i.ytimg.com/vi/EaUsNqABANg/default.jpg,https://i.ytimg.com/vi/EaUsNqABANg/mqdefault.jpg,https://i.ytimg.com/vi/EaUsNqABANg/hqdefault.jpg,none
wcEsYtNlnwU,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-04-04T14:17:31Z,โลกซึมเศร้า โลกของผู้ป่วย โรคซึมเศร้า - Long Play,โลกซึมเศร้า โลกของผู้ป่วย โรคซึมเศร้า - Long Play 00:05 นาที l ยินดีต้อนรับทุกคนเข้าสู่ “โลกซึมเศร้า” เราเป็นซึมเศร้าไหม 25:56 นาที ...,https://i.ytimg.com/vi/wcEsYtNlnwU/default.jpg,https://i.ytimg.com/vi/wcEsYtNlnwU/mqdefault.jpg,https://i.ytimg.com/vi/wcEsYtNlnwU/hqdefault.jpg,none
